,ChampionshipWinner,Season,Championship,Country,CoachWinner 
752,Boldklubben 1903,1975/1976,Superligaen_1975/1976,Denmark,-
753,Köge Boldklub,1974/1975,Superligaen_1974/1975,Denmark,-
754,Kjöbenhavns Boldklub,1973/1974,Superligaen_1973/1974,Denmark,-
755,Hvidovre IF,1972/1973,Superligaen_1972/1973,Denmark,-
756,Vejle Boldklub,1971/1972,Superligaen_1971/1972,Denmark,-
757,Vejle Boldklub,1970/1971,Superligaen_1970/1971,Denmark,-
758,Boldklubben 1903,1969/1970,Superligaen_1969/1970,Denmark,-
759,Boldklubben 1903,1968/1969,Superligaen_1968/1969,Denmark,-
760,Kjöbenhavns Boldklub,1967/1968,Superligaen_1967/1968,Denmark,-
761,Akademisk Boldklub,1966/1967,Superligaen_1966/1967,Denmark,-
762,Hvidovre IF,1965/1966,Superligaen_1965/1966,Denmark,-
763,Esbjerg fB,1964/1965,Superligaen_1964/1965,Denmark,-
764,B1909 Odense,1963/1964,Superligaen_1963/1964,Denmark,-
765,Esbjerg fB,1962/1963,Superligaen_1962/1963,Denmark,-
766,Esbjerg fB,1961/1962,Superligaen_1961/1962,Denmark,-
767,Esbjerg fB,1960/1961,Superligaen_1960/1961,Denmark,-
768,Aarhus GF,1959/1960,Superligaen_1959/1960,Denmark,-
769,B1909 Odense,1958/1959,Superligaen_1958/1959,Denmark,-
770,Vejle Boldklub,1957/1958,Superligaen_1957/1958,Denmark,-
771,Aarhus GF,1956/1957,Superligaen_1956/1957,Denmark,-
772,Aarhus GF,1955/1956,Superligaen_1955/1956,Denmark,-
773,Aarhus GF,1954/1955,Superligaen_1954/1955,Denmark,-
774,Köge Boldklub,1953/1954,Superligaen_1953/1954,Denmark,-
775,Kjöbenhavns Boldklub,1952/1953,Superligaen_1952/1953,Denmark,-
776,Akademisk Boldklub,1951/1952,Superligaen_1951/1952,Denmark,-
777,Akademisk Boldklub,1950/1951,Superligaen_1950/1951,Denmark,-
778,Kjöbenhavns Boldklub,1949/1950,Superligaen_1949/1950,Denmark,-
779,Kjöbenhavns Boldklub,1948/1949,Superligaen_1948/1949,Denmark,-
780,Kjöbenhavns Boldklub,1947/1948,Superligaen_1947/1948,Denmark,-
781,Akademisk Boldklub,1946/1947,Superligaen_1946/1947,Denmark,-
782,Boldklubben af 1893,1945/1946,Superligaen_1945/1946,Denmark,-
783,Akademisk Boldklub,1944/1945,Superligaen_1944/1945,Denmark,-
784,BK Frem,1943/1944,Superligaen_1943/1944,Denmark,-
785,Akademisk Boldklub,1942/1943,Superligaen_1942/1943,Denmark,-
786,Boldklubben af 1893,1941/1942,Superligaen_1941/1942,Denmark,-
787,BK Frem,1940/1941,Superligaen_1940/1941,Denmark,-
788,Kjöbenhavns Boldklub,1939/1940,Superligaen_1939/1940,Denmark,-
789,Boldklubben af 1893,1938/1939,Superligaen_1938/1939,Denmark,-
790,Boldklubben 1903,1937/1938,Superligaen_1937/1938,Denmark,-
791,Akademisk Boldklub,1936/1937,Superligaen_1936/1937,Denmark,-
792,BK Frem,1935/1936,Superligaen_1935/1936,Denmark,-
793,Boldklubben af 1893,1934/1935,Superligaen_1934/1935,Denmark,-
794,Boldklubben af 1893,1933/1934,Superligaen_1933/1934,Denmark,-
795,BK Frem,1932/1933,Superligaen_1932/1933,Denmark,-
796,Kjöbenhavns Boldklub,1931/1932,Superligaen_1931/1932,Denmark,-
797,BK Frem,1930/1931,Superligaen_1930/1931,Denmark,-
798,Boldklubben af 1893,1929/1930,Superligaen_1929/1930,Denmark,-
799,Boldklubben af 1893,1928/1929,Superligaen_1928/1929,Denmark,-
800,Boldklubben af 1893,1926/1927,Superligaen_1926/1927,Denmark,-
801,Boldklubben 1903,1925/1926,Superligaen_1925/1926,Denmark,-
802,Kjöbenhavns Boldklub,1924/1925,Superligaen_1924/1925,Denmark,-
803,Boldklubben 1903,1923/1924,Superligaen_1923/1924,Denmark,-
804,BK Frem,1922/1923,Superligaen_1922/1923,Denmark,-
805,Kjöbenhavns Boldklub,1921/1922,Superligaen_1921/1922,Denmark,-
806,Akademisk Boldklub,1920/1921,Superligaen_1920/1921,Denmark,-
807,Boldklubben 1903,1919/1920,Superligaen_1919/1920,Denmark,-
808,Akademisk Boldklub,1918/1919,Superligaen_1918/1919,Denmark,-
809,Kjöbenhavns Boldklub,1917/1918,Superligaen_1917/1918,Denmark,-
810,Kjöbenhavns Boldklub,1916/1917,Superligaen_1916/1917,Denmark,-
811,Boldklubben af 1893,1915/1916,Superligaen_1915/1916,Denmark,-
812,Kjöbenhavns Boldklub,1913/1914,Superligaen_1913/1914,Denmark,-
813,Kjöbenhavns Boldklub,1912/1913,Superligaen_1912/1913,Denmark,-
814,Silkeborg IF,2018/2019,NordicBetLIGA_2018/2019,Denmark,-
815,Vejle Boldklub,2017/2018,NordicBetLIGA_2017/2018,Denmark,-
816,Manchester City,2018/2019,PremierLeague_2018/2019,United Kingdom,Pep Guardiola
817,Manchester City,2017/2018,PremierLeague_2017/2018,United Kingdom,Pep Guardiola
818,Chelsea FC,2016/2017,PremierLeague_2016/2017,United Kingdom,Antonio Conte
819,Leicester City,2015/2016,PremierLeague_2015/2016,United Kingdom,Claudio Ranieri
820,Chelsea FC,2014/2015,PremierLeague_2014/2015,United Kingdom,José Mourinho
821,Manchester City,2013/2014,PremierLeague_2013/2014,United Kingdom,Manuel Pellegrini
822,Manchester United,2012/2013,PremierLeague_2012/2013,United Kingdom,Sir Alex Ferguson
823,Manchester City,2011/2012,PremierLeague_2011/2012,United Kingdom,Roberto Mancini
824,Manchester United,2010/2011,PremierLeague_2010/2011,United Kingdom,Sir Alex Ferguson
825,Chelsea FC,2009/2010,PremierLeague_2009/2010,United Kingdom,Carlo Ancelotti
826,Manchester United,2008/2009,PremierLeague_2008/2009,United Kingdom,Sir Alex Ferguson
827,Manchester United,2007/2008,PremierLeague_2007/2008,United Kingdom,Sir Alex Ferguson
828,Manchester United,2006/2007,PremierLeague_2006/2007,United Kingdom,Sir Alex Ferguson
829,Chelsea FC,2005/2006,PremierLeague_2005/2006,United Kingdom,José Mourinho
830,Chelsea FC,2004/2005,PremierLeague_2004/2005,United Kingdom,José Mourinho
831,Arsenal FC,2003/2004,PremierLeague_2003/2004,United Kingdom,Arsène Wenger
832,Manchester United,2002/2003,PremierLeague_2002/2003,United Kingdom,Sir Alex Ferguson
833,Arsenal FC,2001/2002,PremierLeague_2001/2002,United Kingdom,Arsène Wenger
834,Manchester United,2000/2001,PremierLeague_2000/2001,United Kingdom,Sir Alex Ferguson
835,Manchester United,1999/1900,PremierLeague_1999/1900,United Kingdom,Sir Alex Ferguson
836,Manchester United,1998/1999,PremierLeague_1998/1999,United Kingdom,Sir Alex Ferguson
837,Arsenal FC,1997/1998,PremierLeague_1997/1998,United Kingdom,Arsène Wenger
838,Manchester United,1996/1997,PremierLeague_1996/1997,United Kingdom,Sir Alex Ferguson
839,Manchester United,1995/1996,PremierLeague_1995/1996,United Kingdom,Sir Alex Ferguson
840,Blackburn Rovers,1994/1995,PremierLeague_1994/1995,United Kingdom,Sir Kenny Dalglish
841,Manchester United,1993/1994,PremierLeague_1993/1994,United Kingdom,Sir Alex Ferguson
842,Manchester United,1992/1993,PremierLeague_1992/1993,United Kingdom,Sir Alex Ferguson
843,Leeds United,1991/1992,PremierLeague_1991/1992,United Kingdom,Howard Wilkinson
844,Arsenal FC,1990/1991,PremierLeague_1990/1991,United Kingdom,George Graham
845,Liverpool FC,1989/1990,PremierLeague_1989/1990,United Kingdom,Sir Kenny Dalglish
846,Arsenal FC,1988/1989,PremierLeague_1988/1989,United Kingdom,George Graham
847,Liverpool FC,1987/1988,PremierLeague_1987/1988,United Kingdom,Sir Kenny Dalglish
848,Everton FC,1986/1987,PremierLeague_1986/1987,United Kingdom,Howard Kendall
849,Liverpool FC,1985/1986,PremierLeague_1985/1986,United Kingdom,Sir Kenny Dalglish
850,Everton FC,1984/1985,PremierLeague_1984/1985,United Kingdom,Howard Kendall
851,Liverpool FC,1983/1984,PremierLeague_1983/1984,United Kingdom,Joe Fagan
852,Liverpool FC,1982/1983,PremierLeague_1982/1983,United Kingdom,Bob Paisley
853,Liverpool FC,1981/1982,PremierLeague_1981/1982,United Kingdom,Bob Paisley
854,Aston Villa,1980/1981,PremierLeague_1980/1981,United Kingdom,Ron Saunders
855,Liverpool FC,1979/1980,PremierLeague_1979/1980,United Kingdom,Bob Paisley
856,Liverpool FC,1978/1979,PremierLeague_1978/1979,United Kingdom,Bob Paisley
857,Nottingham Forest,1977/1978,PremierLeague_1977/1978,United Kingdom,Brian Clough
858,Liverpool FC,1976/1977,PremierLeague_1976/1977,United Kingdom,Bob Paisley
859,Liverpool FC,1975/1976,PremierLeague_1975/1976,United Kingdom,Bob Paisley
860,Derby County,1974/1975,PremierLeague_1974/1975,United Kingdom,Dave Mackay
861,Leeds United,1973/1974,PremierLeague_1973/1974,United Kingdom,Don Revie
862,Liverpool FC,1972/1973,PremierLeague_1972/1973,United Kingdom,Bill Shankly
863,Derby County,1971/1972,PremierLeague_1971/1972,United Kingdom,Brian Clough
864,Arsenal FC,1970/1971,PremierLeague_1970/1971,United Kingdom,Bertie Mee
865,Everton FC,1969/1970,PremierLeague_1969/1970,United Kingdom,Harry Catterick
866,Leeds United,1968/1969,PremierLeague_1968/1969,United Kingdom,Don Revie
867,Manchester City,1967/1968,PremierLeague_1967/1968,United Kingdom,Joe Mercer
868,Manchester United,1966/1967,PremierLeague_1966/1967,United Kingdom,Sir Matt Busby
869,Liverpool FC,1965/1966,PremierLeague_1965/1966,United Kingdom,Bill Shankly
870,Manchester United,1964/1965,PremierLeague_1964/1965,United Kingdom,Sir Matt Busby
871,Liverpool FC,1963/1964,PremierLeague_1963/1964,United Kingdom,Bill Shankly
872,Everton FC,1962/1963,PremierLeague_1962/1963,United Kingdom,Harry Catterick
873,Ipswich Town,1961/1962,PremierLeague_1961/1962,United Kingdom,Alf Ramsey
874,Tottenham Hotspur,1960/1961,PremierLeague_1960/1961,United Kingdom,Bill Nicholson
875,Burnley FC,1959/1960,PremierLeague_1959/1960,United Kingdom,Harry Potts
876,Wolverhampton Wanderers,1958/1959,PremierLeague_1958/1959,United Kingdom,Stan Cullis
877,Wolverhampton Wanderers,1957/1958,PremierLeague_1957/1958,United Kingdom,Stan Cullis
878,Manchester United,1956/1957,PremierLeague_1956/1957,United Kingdom,Sir Matt Busby
879,Manchester United,1955/1956,PremierLeague_1955/1956,United Kingdom,Sir Matt Busby
880,Chelsea FC,1954/1955,PremierLeague_1954/1955,United Kingdom,-
881,Wolverhampton Wanderers,1953/1954,PremierLeague_1953/1954,United Kingdom,Stan Cullis
882,Arsenal FC,1952/1953,PremierLeague_1952/1953,United Kingdom,Tom Whittaker
883,Manchester United,1951/1952,PremierLeague_1951/1952,United Kingdom,Sir Matt Busby
884,Tottenham Hotspur,1950/1951,PremierLeague_1950/1951,United Kingdom,Arthur Rowe
885,Portsmouth FC,1949/1950,PremierLeague_1949/1950,United Kingdom,-
886,Portsmouth FC,1948/1949,PremierLeague_1948/1949,United Kingdom,-
887,Arsenal FC,1947/1948,PremierLeague_1947/1948,United Kingdom,Tom Whittaker
888,Liverpool FC,1946/1947,PremierLeague_1946/1947,United Kingdom,George Kay †
889,Everton FC,1938/1939,PremierLeague_1938/1939,United Kingdom,-
890,Arsenal FC,1937/1938,PremierLeague_1937/1938,United Kingdom,-
891,Manchester City,1936/1937,PremierLeague_1936/1937,United Kingdom,-
892,Sunderland AFC,1935/1936,PremierLeague_1935/1936,United Kingdom,-
893,Arsenal FC,1934/1935,PremierLeague_1934/1935,United Kingdom,-
894,Arsenal FC,1933/1934,PremierLeague_1933/1934,United Kingdom,-
895,Arsenal FC,1932/1933,PremierLeague_1932/1933,United Kingdom,Herbert Chapman
896,Everton FC,1931/1932,PremierLeague_1931/1932,United Kingdom,-
897,Arsenal FC,1930/1931,PremierLeague_1930/1931,United Kingdom,Herbert Chapman
898,Sheffield Wednesday,1929/1930,PremierLeague_1929/1930,United Kingdom,-
899,Sheffield Wednesday,1928/1929,PremierLeague_1928/1929,United Kingdom,-
900,Everton FC,1927/1928,PremierLeague_1927/1928,United Kingdom,-
901,Newcastle United,1926/1927,PremierLeague_1926/1927,United Kingdom,-
902,Huddersfield Town,1925/1926,PremierLeague_1925/1926,United Kingdom,-
903,Huddersfield Town,1924/1925,PremierLeague_1924/1925,United Kingdom,Herbert Chapman
904,Huddersfield Town,1923/1924,PremierLeague_1923/1924,United Kingdom,Herbert Chapman
905,Liverpool FC,1922/1923,PremierLeague_1922/1923,United Kingdom,Matt McQueen
906,Liverpool FC,1921/1922,PremierLeague_1921/1922,United Kingdom,David Ashworth
907,Burnley FC,1920/1921,PremierLeague_1920/1921,United Kingdom,-
908,West Bromwich Albion,1919/1920,PremierLeague_1919/1920,United Kingdom,-
909,Everton FC,1914/1915,PremierLeague_1914/1915,United Kingdom,-
910,Blackburn Rovers,1913/1914,PremierLeague_1913/1914,United Kingdom,-
911,Sunderland AFC,1912/1913,PremierLeague_1912/1913,United Kingdom,-
912,Blackburn Rovers,1911/1912,PremierLeague_1911/1912,United Kingdom,-
913,Manchester United,1910/1911,PremierLeague_1910/1911,United Kingdom,Ernest Mangnall
914,Aston Villa,1909/1910,PremierLeague_1909/1910,United Kingdom,-
915,Newcastle United,1908/1909,PremierLeague_1908/1909,United Kingdom,-
916,Manchester United,1907/1908,PremierLeague_1907/1908,United Kingdom,Ernest Mangnall
917,Newcastle United,1906/1907,PremierLeague_1906/1907,United Kingdom,-
918,Liverpool FC,1905/1906,PremierLeague_1905/1906,United Kingdom,Tom Watson
919,Newcastle United,1904/1905,PremierLeague_1904/1905,United Kingdom,-
920,Sheffield Wednesday,1903/1904,PremierLeague_1903/1904,United Kingdom,-
921,Sheffield Wednesday,1902/1903,PremierLeague_1902/1903,United Kingdom,-
922,Sunderland AFC,1901/1902,PremierLeague_1901/1902,United Kingdom,-
923,Liverpool FC,1900/1901,PremierLeague_1900/1901,United Kingdom,Tom Watson
924,Aston Villa,1899/1900,PremierLeague_1899/1900,United Kingdom,-
925,Aston Villa,1898/1999,PremierLeague_1898/1999,United Kingdom,-
926,Sheffield United,1897/1998,PremierLeague_1897/1998,United Kingdom,-
927,Aston Villa,1896/1997,PremierLeague_1896/1997,United Kingdom,-
928,Aston Villa,1895/1996,PremierLeague_1895/1996,United Kingdom,-
929,Sunderland AFC,1894/1995,PremierLeague_1894/1995,United Kingdom,Tom Watson
930,Aston Villa,1893/1994,PremierLeague_1893/1994,United Kingdom,-
931,Sunderland AFC,1892/1993,PremierLeague_1892/1993,United Kingdom,Tom Watson
932,Sunderland AFC,1891/1992,PremierLeague_1891/1992,United Kingdom,Tom Watson
933,Everton FC,1890/1991,PremierLeague_1890/1991,United Kingdom,-
934,Preston North End,1889/1990,PremierLeague_1889/1990,United Kingdom,-
935,Preston North End,1888/1989,PremierLeague_1888/1989,United Kingdom,-
936,Kuopion Palloseura,2018/2019,Veikkausliiga_2018/2019,Finland,-
937,HJK Helsinki,2017/2018,Veikkausliiga_2017/2018,Finland,-
938,HJK Helsinki,2016/2017,Veikkausliiga_2016/2017,Finland,Mika Lehkosuo
939,IFK Mariehamn,2015/2016,Veikkausliiga_2015/2016,Finland,-
940,SJK Seinäjoki,2014/2015,Veikkausliiga_2014/2015,Finland,Simo Valakari
941,HJK Helsinki,2013/2014,Veikkausliiga_2013/2014,Finland,Mika Lehkosuo
942,HJK Helsinki,2012/2013,Veikkausliiga_2012/2013,Finland,-
943,HJK Helsinki,2011/2012,Veikkausliiga_2011/2012,Finland,Juho Rantala
944,HJK Helsinki,2010/2011,Veikkausliiga_2010/2011,Finland,Antti Muurinen
945,HJK Helsinki,2009/2010,Veikkausliiga_2009/2010,Finland,Ari Hjelm
946,HJK Helsinki,2008/2009,Veikkausliiga_2008/2009,Finland,Antti Muurinen
947,FC Inter Turku,2007/2008,Veikkausliiga_2007/2008,Finland,Juho Rantala
948,Tampere United,2006/2007,Veikkausliiga_2006/2007,Finland,Ari Hjelm
949,Tampere United,2005/2006,Veikkausliiga_2005/2006,Finland,Ari Hjelm
950,Myllykosken Pallo -47,2004/2005,Veikkausliiga_2004/2005,Finland,-
951,FC Haka,2003/2004,Veikkausliiga_2003/2004,Finland,-
952,HJK Helsinki,2002/2003,Veikkausliiga_2002/2003,Finland,Keith Armstrong
953,HJK Helsinki,2001/2002,Veikkausliiga_2001/2002,Finland,Keith Armstrong
954,Tampere United,2000/2001,Veikkausliiga_2000/2001,Finland,-
955,FC Haka,1999/2000,Veikkausliiga_1999/2000,Finland,Keith Armstrong
956,FC Haka,1998/1999,Veikkausliiga_1998/1999,Finland,Keith Armstrong
957,FC Haka,1997/1998,Veikkausliiga_1997/1998,Finland,Keith Armstrong
958,HJK Helsinki,1996/1997,Veikkausliiga_1996/1997,Finland,-
959,FC Jazz Pori,1995/1996,Veikkausliiga_1995/1996,Finland,-
960,FC Haka,1994/1995,Veikkausliiga_1994/1995,Finland,-
961,Tampereen Pallo-Veikot,1993/1994,Veikkausliiga_1993/1994,Finland,-
962,FC Jazz Pori,1992/1993,Veikkausliiga_1992/1993,Finland,-
963,HJK Helsinki,1991/1992,Veikkausliiga_1991/1992,Finland,-
964,FC Kuusysi,1990/1991,Veikkausliiga_1990/1991,Finland,-
965,HJK Helsinki,1989/1990,Veikkausliiga_1989/1990,Finland,-
966,FC Kuusysi,1988/1989,Veikkausliiga_1988/1989,Finland,-
967,HJK Helsinki,1987/1988,Veikkausliiga_1987/1988,Finland,-
968,HJK Helsinki,1986/1987,Veikkausliiga_1986/1987,Finland,-
969,FC Kuusysi,1985/1986,Veikkausliiga_1985/1986,Finland,-
970,HJK Helsinki,1984/1985,Veikkausliiga_1984/1985,Finland,-
971,FC Kuusysi,1983/1984,Veikkausliiga_1983/1984,Finland,-
972,Ilves Tampere,1982/1983,Veikkausliiga_1982/1983,Finland,-
973,FC Kuusysi,1981/1982,Veikkausliiga_1981/1982,Finland,-
974,HJK Helsinki,1980/1981,Veikkausliiga_1980/1981,Finland,-
975,Oulun Palloseura,1979/1980,Veikkausliiga_1979/1980,Finland,-
976,Oulun Palloseura,1978/1979,Veikkausliiga_1978/1979,Finland,-
977,HJK Helsinki,1977/1978,Veikkausliiga_1977/1978,Finland,-
978,FC Haka,1976/1977,Veikkausliiga_1976/1977,Finland,-
979,Kuopion Palloseura,1975/1976,Veikkausliiga_1975/1976,Finland,-
980,Turun Palloseura,1974/1975,Veikkausliiga_1974/1975,Finland,-
981,Kuopion Palloseura,1973/1974,Veikkausliiga_1973/1974,Finland,-
982,HJK Helsinki,1972/1973,Veikkausliiga_1972/1973,Finland,-
983,Turun Palloseura,1971/1972,Veikkausliiga_1971/1972,Finland,-
984,Turun Palloseura,1970/1971,Veikkausliiga_1970/1971,Finland,-
985,FC Reipas Lahti,1969/1970,Veikkausliiga_1969/1970,Finland,-
986,Kokkolan Pallo-Veikot,1968/1969,Veikkausliiga_1968/1969,Finland,-
987,Turun Palloseura,1967/1968,Veikkausliiga_1967/1968,Finland,-
988,FC Reipas Lahti,1966/1967,Veikkausliiga_1966/1967,Finland,-
989,Kuopion Palloseura,1965/1966,Veikkausliiga_1965/1966,Finland,-
990,FC Haka,1964/1965,Veikkausliiga_1964/1965,Finland,-
991,HJK Helsinki,1963/1964,Veikkausliiga_1963/1964,Finland,-
992,FC Reipas Lahti,1962/1963,Veikkausliiga_1962/1963,Finland,-
993,FC Haka,1961/1962,Veikkausliiga_1961/1962,Finland,-
994,Helsinki IFK,1960/1961,Veikkausliiga_1960/1961,Finland,-
995,FC Haka,1959/1960,Veikkausliiga_1959/1960,Finland,-
996,Helsinki IFK,1958/1959,Veikkausliiga_1958/1959,Finland,-
997,Kuopion Palloseura,1957/1958,Veikkausliiga_1957/1958,Finland,-
998,Helsingin Palloseura,1956/1957,Veikkausliiga_1956/1957,Finland,-
999,Kuopion Palloseura,1955/1956,Veikkausliiga_1955/1956,Finland,-
1000,FC Kiffen 08,1954/1955,Veikkausliiga_1954/1955,Finland,-
1001,Vaasa IFK,1952/1953,Veikkausliiga_1952/1953,Finland,-
1002,Kotkan Työväen Palloilijat,1951/1952,Veikkausliiga_1951/1952,Finland,-
1003,FC KTP,1951/1952,Veikkausliiga_1951/1952,Finland,-
1004,Kotkan Työväen Palloilijat,1950/1951,Veikkausliiga_1950/1951,Finland,-
1005,FC KTP,1950/1951,Veikkausliiga_1950/1951,Finland,-
1006,Tampereen Ilves-Kissat,1949/1950,Veikkausliiga_1949/1950,Finland,-
1007,Turun Palloseura,1948/1949,Veikkausliiga_1948/1949,Finland,-
1008,Vaasan Palloseura,1947/1948,Veikkausliiga_1947/1948,Finland,-
1009,Helsinki IFK,1946/1947,Veikkausliiga_1946/1947,Finland,-
1010,Vaasa IFK,1945/1946,Veikkausliiga_1945/1946,Finland,-
1011,Vaasan Palloseura,1944/1945,Veikkausliiga_1944/1945,Finland,-
1012,Vaasa IFK,1943/1944,Veikkausliiga_1943/1944,Finland,-
1013,Turun Palloseura,1940/1941,Veikkausliiga_1940/1941,Finland,-
1014,Sudet Kouvola,1939/1940,Veikkausliiga_1939/1940,Finland,-
1015,Turun Palloseura,1938/1939,Veikkausliiga_1938/1939,Finland,-
1016,HJK Helsinki,1937/1938,Veikkausliiga_1937/1938,Finland,-
1017,Helsinki IFK,1936/1937,Veikkausliiga_1936/1937,Finland,-
1018,HJK Helsinki,1935/1936,Veikkausliiga_1935/1936,Finland,-
1019,Helsingin Palloseura,1934/1935,Veikkausliiga_1934/1935,Finland,-
1020,Helsingin Palloseura,1933/1934,Veikkausliiga_1933/1934,Finland,-
1021,Helsinki IFK,1932/1933,Veikkausliiga_1932/1933,Finland,-
1022,Helsingin Palloseura,1931/1932,Veikkausliiga_1931/1932,Finland,-
1023,Helsinki IFK,1930/1931,Veikkausliiga_1930/1931,Finland,-
1024,Helsinki IFK,1929/1930,Veikkausliiga_1929/1930,Finland,-
1025,Helsingin Palloseura,1928/1929,Veikkausliiga_1928/1929,Finland,-
1026,Turun Palloseura,1927/1928,Veikkausliiga_1927/1928,Finland,-
1027,Helsingin Palloseura,1926/1927,Veikkausliiga_1926/1927,Finland,-
1028,Helsingin Palloseura,1925/1926,Veikkausliiga_1925/1926,Finland,-
1029,HJK Helsinki,1924/1925,Veikkausliiga_1924/1925,Finland,-
1030,Åbo IFK,1923/1924,Veikkausliiga_1923/1924,Finland,-
1031,HJK Helsinki,1922/1923,Veikkausliiga_1922/1923,Finland,-
1032,Helsingin Palloseura,1921/1922,Veikkausliiga_1921/1922,Finland,-
1033,Helsingin Palloseura,1920/1921,Veikkausliiga_1920/1921,Finland,-
1034,Åbo IFK,1919/1920,Veikkausliiga_1919/1920,Finland,-
1035,HJK Helsinki,1918/1919,Veikkausliiga_1918/1919,Finland,-
1036,HJK Helsinki,1917/1918,Veikkausliiga_1917/1918,Finland,-
1037,HJK Helsinki,1916/1917,Veikkausliiga_1916/1917,Finland,-
1038,FC Kiffen 08,1915/1916,Veikkausliiga_1915/1916,Finland,-
1039,FC Kiffen 08,1914/1915,Veikkausliiga_1914/1915,Finland,-
1040,FC Kiffen 08,1912/1913,Veikkausliiga_1912/1913,Finland,-
1041,HJK Helsinki,1911/1912,Veikkausliiga_1911/1912,Finland,-
1042,HJK Helsinki,1910/1911,Veikkausliiga_1910/1911,Finland,-
1043,Åbo IFK,1909/1910,Veikkausliiga_1909/1910,Finland,-
1044,Paris Saint-Germain,2018/2019,Ligue1_2018/2019,France,Thomas Tuchel
1045,Paris Saint-Germain,2017/2018,Ligue1_2017/2018,France,Unai Emery
1046,AS Monaco,2016/2017,Ligue1_2016/2017,France,Leonardo Jardim
1047,Paris Saint-Germain,2015/2016,Ligue1_2015/2016,France,Laurent Blanc
1048,Paris Saint-Germain,2014/2015,Ligue1_2014/2015,France,Laurent Blanc
1049,Paris Saint-Germain,2013/2014,Ligue1_2013/2014,France,Laurent Blanc
1050,Paris Saint-Germain,2012/2013,Ligue1_2012/2013,France,Carlo Ancelotti
1051,HSC Montpellier,2011/2012,Ligue1_2011/2012,France,René Girard
1052,LOSC Lille,2010/2011,Ligue1_2010/2011,France,Rudi Garcia
1053,Olympique Marseille,2009/2010,Ligue1_2009/2010,France,Didier Deschamps
1054,FC Girondins Bordeaux,2008/2009,Ligue1_2008/2009,France,Laurent Blanc
1055,Olympique Lyon,2007/2008,Ligue1_2007/2008,France,Alain Perrin
1056,Olympique Lyon,2006/2007,Ligue1_2006/2007,France,Gérard Houllier
1057,Olympique Lyon,2005/2006,Ligue1_2005/2006,France,Gérard Houllier
1058,Olympique Lyon,2004/2005,Ligue1_2004/2005,France,Paul Le Guen
1059,Olympique Lyon,2003/2004,Ligue1_2003/2004,France,Paul Le Guen
1060,Olympique Lyon,2002/2003,Ligue1_2002/2003,France,Paul Le Guen
1061,Olympique Lyon,2001/2002,Ligue1_2001/2002,France,Jacques Santini
1062,FC Nantes,2000/2001,Ligue1_2000/2001,France,Raynald Denoueix
1063,AS Monaco,1999/1900,Ligue1_1999/1900,France,Claude Puel
1064,FC Girondins Bordeaux,1998/1999,Ligue1_1998/1999,France,Élie Baup
1065,RC Lens,1997/1998,Ligue1_1997/1998,France,Daniel Leclercq
1066,AS Monaco,1996/1997,Ligue1_1996/1997,France,Jean Tigana
1067,AJ Auxerre,1995/1996,Ligue1_1995/1996,France,Guy Roux
1068,FC Nantes,1994/1995,Ligue1_1994/1995,France,Jean-Claude Suaudeau
1069,Paris Saint-Germain,1993/1994,Ligue1_1993/1994,France,Artur Jorge
1070,Olympique Marseille,1991/1992,Ligue1_1991/1992,France,Raymond Goethals
1071,Olympique Marseille,1990/1991,Ligue1_1990/1991,France,Raymond Goethals
1072,Olympique Marseille,1989/1990,Ligue1_1989/1990,France,Gérard Gili
1073,Olympique Marseille,1988/1989,Ligue1_1988/1989,France,Gérard Gili
1074,AS Monaco,1987/1988,Ligue1_1987/1988,France,Arsène Wenger
1075,FC Girondins Bordeaux,1986/1987,Ligue1_1986/1987,France,Aimé Jacquet
1076,Paris Saint-Germain,1985/1986,Ligue1_1985/1986,France,Gérard Houllier
1077,FC Girondins Bordeaux,1984/1985,Ligue1_1984/1985,France,Aimé Jacquet
1078,FC Girondins Bordeaux,1983/1984,Ligue1_1983/1984,France,Aimé Jacquet
1079,FC Nantes,1982/1983,Ligue1_1982/1983,France,Jean-Claude Suaudeau
1080,AS Monaco,1981/1982,Ligue1_1981/1982,France,Gérard Banide
1081,AS Saint-Étienne,1980/1981,Ligue1_1980/1981,France,Robert Herbin
1082,FC Nantes,1979/1980,Ligue1_1979/1980,France,Jean Vincent
1083,RC Strasbourg Alsace,1978/1979,Ligue1_1978/1979,France,Gilbert Gress
1084,AS Monaco,1977/1978,Ligue1_1977/1978,France,Lucien Leduc
1085,FC Nantes,1976/1977,Ligue1_1976/1977,France,Jean Vincent
1086,AS Saint-Étienne,1975/1976,Ligue1_1975/1976,France,Robert Herbin
1087,AS Saint-Étienne,1974/1975,Ligue1_1974/1975,France,Robert Herbin
1088,AS Saint-Étienne,1973/1974,Ligue1_1973/1974,France,Robert Herbin
1089,FC Nantes,1972/1973,Ligue1_1972/1973,France,José Arribas
1090,Olympique Marseille,1971/1972,Ligue1_1971/1972,France,Mario Zatelli
1091,Olympique Marseille,1970/1971,Ligue1_1970/1971,France,Lucien Leduc
1092,AS Saint-Étienne,1969/1970,Ligue1_1969/1970,France,Albert Batteux
1093,AS Saint-Étienne,1968/1969,Ligue1_1968/1969,France,Albert Batteux
1094,AS Saint-Étienne,1967/1968,Ligue1_1967/1968,France,Albert Batteux
1095,AS Saint-Étienne,1966/1967,Ligue1_1966/1967,France,Jean Snella
